title,timings,latitude,longtitude,price,description,availability_class,avail_status
"PVR: Soul Spirit Central Mall, Bellandur
INFO",10:05 PM,12.9259,77.6754,510.00,RECLINER,_filling,2
"PVR: Nexus (Formerly Forum), Koramangala
INFO",11:00 AM,12.9346,77.6111,240.00,CLASSIC,_filling,2
"PVR: Nexus (Formerly Forum), Koramangala
INFO",02:55 PM,12.9346,77.6111,300.00,CLASSIC,_filling,1
"PVR: Nexus (Formerly Forum), Koramangala
INFO",09:20 PM,12.9346,77.6111,300.00,CLASSIC,_available,3
"PVR: Vega City, Bannerghatta Road
INFO",11:10 AM,12.9077,77.6012,250.00,CLASSIC,_filling,2
"PVR: Vega City, Bannerghatta Road
INFO",05:35 PM,12.9077,77.6012,280.00,CLASSIC,_filling,2
"PVR: Vega City, Bannerghatta Road
INFO",09:30 PM,12.9077,77.6012,290.00,CLASSIC,_filling,2
"Gopalan Cinemas: Bannerghatta Road
INFO",10:30 AM,12.9144,77.5995,250.00,GOLD,_available,3
"INOX: Central, JP Nagar, Mantri Junction
INFO",05:50 PM,12.9166,77.5923,330.00,Club,_available,3
"Cinepolis: Royal Meenakshi Mall
INFO",11:15 AM,12.8759,77.5956,230.00,PREMIUM,_filling,1
"INOX: Garuda Mall, Magrath Road
INFO",06:20 PM,12.9705,77.61,750.00,Insignia,_available,3
"Gopalan Miniplex: Signature Mall, Old Madras Road
INFO",10:30 AM,12.9933,77.6621,250.00,Gold,_available,3
"Gopalan Grand Mall: Old Madras Road
INFO",12:10 PM,12.9935,77.664,260.00,GOLD,_available,3
"PVR: Directors Cut, REX Walk Bengaluru
INFO",01:00 PM,12.9726,77.6068,1100.00,PLATINUM SUPERIOR,_filling,2
"PVR: Gold, VR Bengaluru, Whitefield Road
INFO",05:05 PM,12.9965,77.6953,850.00,GOLD PRIME,_filling,2
"PVR: Gold, VR Bengaluru, Whitefield Road
INFO",09:00 PM,12.9965,77.6953,900.00,GOLD PRIME,_sold,0
"PVR: VR Bengaluru, Whitefield Road
INFO",06:15 PM,12.9965,77.6953,490.00,RECLINER,_filling,1
"PVR: Phoenix Marketcity Mall, Whitefield Road
INFO",12:05 PM,12.9973,77.6957,490.00,RECLINER,_sold,0
"PVR: Phoenix Marketcity Mall, Whitefield Road
INFO",09:30 PM,12.9973,77.6957,510.00,RECLINER,_filling,2
"Cinepolis: Orion East Mall, Banaswadi
INFO",10:10 AM,13.0018,77.6329,280.00,PREMIUM,_filling,2
"Cinepolis: Nexus Shantiniketan, Bengaluru
INFO",03:15 PM,12.9894,77.7279,300.00,SINGLE SOFA,_filling,2
"PVR: Aura Park Square, Bengaluru
INFO",11:45 AM,12.987,77.7368,350.00,RECLINER,_available,3
"Cinepolis: Binnypet Mall
INFO",01:05 PM,12.9676,77.5584,180.00,PREMIUM,_filling,2
"Gopalan Mall: Sirsi Circle
INFO",12:45 PM,12.9583,77.5533,260.00,GOLD,_available,3
"INOX: Mantri Square, Malleshwaram
INFO",10:00 AM,12.9922,77.5703,240.00,Club,_available,3
"PVR: The Cinema GT World, Bengaluru
INFO",03:20 PM,12.9742,77.552,360.00,RECLINER,_filling,1
"PVR: The Cinema GT World, Bengaluru
INFO",10:15 PM,12.9742,77.552,410.00,RECLINER,_available,3
"PVR: MSR Elements Mall, Tanisandhra Main Road
INFO",05:50 PM,13.0452,77.6266,440.00,RECLINER,_available,3
"PVR: Orion Mall, Dr Rajkumar Road
INFO",11:25 AM,13.011,77.5551,600.00,RECLINER,_available,3
"PVR: Orion Mall, Dr Rajkumar Road
INFO",06:35 PM,13.011,77.5551,660.00,RECLINER,_available,3
"PVR: Vaishnavi Sapphire Mall, Yeshwanthpur
INFO",03:20 PM,13.0247,77.5486,360.00,RECLINER,_filling,2
"PVR: Bhartiya Mall of Bengaluru
INFO",11:25 AM,13.0828,77.6435,290.00,RECLINER,_filling,1
"PVR: Bhartiya Mall of Bengaluru
INFO",06:00 PM,13.0828,77.6435,290.00,RECLINER,_filling,1
"INOX: Galleria Mall, Yelahanka
INFO",06:20 PM,13.0943,77.5956,320.00,EXECUTIVE,_available,3
